[alpha, beta]
[946.559 945.441]
[949.119 947.881]
[951.602 950.398]
[954.164 952.836]
[956.616 955.384]
[959.141 957.859]
[961.611 960.389]
[964.149 962.851]
[966.686 965.314]
[969.196 967.804]
[971.69 970.31]
[974.276 972.724]
[976.798 975.202]
[979.265 977.735]
[981.798 980.202]
[984.309 982.691]
[986.771 985.229]
[989.214 987.786]
[991.704 990.296]
[994.219 992.781]
[996.663 995.337]
[999.246 997.754]
[1001.729 1000.271]
[1004.225 1002.775]
[1006.768 1005.232]
[1009.241 1007.759]
[1011.765 1010.235]
[1014.278 1012.722]
[1016.762 1015.238]
[1019.267 1017.733]
[1021.783 1020.217]
[1024.262 1022.738]
[1026.793 1025.207]
[1029.353 1027.647]
[1031.873 1030.127]
[1034.369 1032.631]
[1036.912 1035.088]
[1039.441 1037.559]
[1041.982 1040.018]
[1044.48 1042.52]
[1046.991 1045.009]
[1049.441 1047.559]
[1051.987 1050.013]
[1054.454 1052.546]
[1056.962 1055.038]
[1059.448 1057.552]
[1061.928 1060.072]
[1064.425 1062.575]
[1066.872 1065.128]
[1069.319 1067.681]
[1071.809 1070.191]
[1074.317 1072.683]
[1076.746 1075.254]
[1079.269 1077.731]
[1081.725 1080.275]
[1084.154 1082.846]
[1086.685 1085.315]
[1089.206 1087.794]
[1091.724 1090.276]
[1094.235 1092.765]
[1096.661 1095.339]
[1099.181 1097.819]
[1101.711 1100.289]
[1104.174 1102.826]
[1106.743 1105.257]
[1109.142 1107.858]
[1111.676 1110.324]
[1114.184 1112.816]
[1116.701 1115.299]
[1119.226 1117.774]
[1121.749 1120.251]
[1124.207 1122.793]
[1126.68 1125.32]
[1129.139 1127.861]
[1131.656 1130.344]
[1134.138 1132.862]
[1136.682 1135.318]
[1139.242 1137.758]
[1141.684 1140.316]
[1144.212 1142.788]
[1146.711 1145.289]
[1149.288 1147.712]
[1151.77 1150.23]
[1154.3 1152.7]
[1156.745 1155.255]
[1159.181 1157.819]
[1161.708 1160.292]
[1164.193 1162.807]
[1166.721 1165.279]
[1169.186 1167.814]
[1171.682 1170.318]
[1174.177 1172.823]
[1176.702 1175.298]
[1179.159 1177.841]
[1181.633 1180.367]
[1184.15 1182.85]
[1186.648 1185.352]
[1189.18 1187.82]
[1191.716 1190.284]
[1194.198 1192.802]
[1196.673 1195.327]
[1199.142 1197.858]
[1201.641 1200.359]
[1204.114 1202.886]
[1206.608 1205.392]
[1209.161 1207.839]
[1211.699 1210.301]
[1214.246 1212.754]
[1216.755 1215.245]
[1219.206 1217.794]
[1221.72 1220.28]
[1224.23 1222.77]
[1226.745 1225.255]
[1229.348 1227.652]
[1231.851 1230.149]
[1234.357 1232.643]
[1236.842 1235.158]
[1239.351 1237.649]
[1241.936 1240.064]
[1244.455 1242.545]
[1246.909 1245.091]
[1249.471 1247.529]
[1252.036 1249.964]
[1254.542 1252.458]
[1257.057 1254.943]
[1259.515 1257.485]
[1262.024 1259.976]
[1264.558 1262.442]
[1267.073 1264.927]
[1269.642 1267.358]
[1272.173 1269.827]
[1274.721 1272.279]
[1277.229 1274.771]
[1279.715 1277.285]
[1282.214 1279.786]
[1284.711 1282.289]
[1287.234 1284.766]
[1289.727 1287.273]
[1292.243 1289.757]
[1294.77 1292.23]
[1297.276 1294.724]
[1299.744 1297.256]
[1302.266 1299.734]
[1304.781 1302.219]
[1307.289 1304.711]
[1309.808 1307.192]
[1312.288 1309.712]
[1314.775 1312.225]
[1317.24 1314.76]
[1319.765 1317.235]
[1322.353 1319.647]
[1324.864 1322.136]
[1327.335 1324.665]
[1329.807 1327.193]
[1332.287 1329.713]
[1334.756 1332.244]
[1337.264 1334.736]
[1339.78 1337.22]
[1342.334 1339.666]
[1344.761 1342.239]
[1347.247 1344.753]
[1349.778 1347.222]
[1352.192 1349.808]
[1354.681 1352.319]
[1357.162 1354.838]
[1359.613 1357.387]
[1362.106 1359.894]
[1364.578 1362.422]
[1367.09 1364.91]
[1369.583 1367.417]
[1372.114 1369.886]
[1374.584 1372.416]
[1377.122 1374.878]
[1379.573 1377.427]
[1382.052 1379.948]
[1384.538 1382.462]
[1387.046 1384.954]
[1389.532 1387.468]
[1392. 1390.]
[1394.453 1392.547]
[1396.989 1395.011]
[1399.48 1397.52]
[1401.936 1400.064]
[1404.427 1402.573]
[1406.914 1405.086]
[1409.413 1407.587]
[1411.941 1410.059]
[1414.43 1412.57]
[1416.943 1415.057]
[1419.478 1417.522]
[1421.958 1420.042]
[1424.456 1422.544]
[1426.88 1425.12]
[1429.421 1427.579]
[1432.003 1429.997]
[1434.45 1432.55]
[1436.979 1435.021]
[1439.514 1437.486]
[1442. 1440.]
[1444.452 1442.548]
[1446.972 1445.028]
[1449.501 1447.499]
[1452.046 1449.954]
[1454.528 1452.472]
[1456.974 1455.026]
[1459.482 1457.518]
[1462.011 1459.989]
[1464.56 1462.44]
[1467.058 1464.942]
[1469.589 1467.411]
[1472.054 1469.946]
[1474.496 1472.504]
[1477.024 1474.976]
[1479.495 1477.505]
[1482.032 1479.968]
[1484.529 1482.471]
[1487.069 1484.931]
[1489.578 1487.422]
[1492.054 1489.946]
[1494.58 1492.42]
[1497.053 1494.947]
[1499.607 1497.393]
[1502.049 1499.951]
