[alpha, beta]
[1147.845  384.155]
[1148.568  384.432]
[1152.295  385.705]
[1153.032  385.968]
[1156.759  387.241]
[1157.515  387.485]
[1161.221  388.779]
[1161.967  389.033]
[1165.693  390.307]
[1166.436  390.564]
[1170.177  391.823]
[1170.929  392.071]
[1174.669  393.331]
[1175.405  393.595]
[1179.155  394.845]
[1179.908  395.092]
[1183.675  396.325]
[1184.442  396.558]
[1188.19  397.81]
[1188.955  398.045]
[1192.718  399.282]
[1193.472  399.528]
[1197.18  400.82]
[1197.908  401.092]
[1201.642  402.358]
[1202.375  402.625]
[1206.087  403.913]
[1206.845  404.155]
[1210.559  405.441]
[1211.317  405.683]
[1215.112  406.888]
[1215.869  407.131]
[1219.628  408.372]
[1220.408  408.592]
[1224.178  409.822]
[1224.947  410.053]
[1228.694  411.306]
[1229.42  411.58]
[1233.145  412.855]
[1233.879  413.121]
[1237.631  414.369]
[1238.367  414.633]
[1242.132  415.868]
[1242.883  416.117]
[1246.676  417.324]
[1247.458  417.542]
[1251.184  418.816]
[1251.936  419.064]
[1255.745  420.255]
[1256.491  420.509]
[1260.239  421.761]
[1260.983  422.017]
[1264.726  423.274]
[1265.49  423.51]
[1269.22  424.78]
[1269.987  425.013]
[1273.734  426.266]
[1274.483  426.517]
[1278.252  427.748]
[1278.999  428.001]
[1282.809  429.191]
[1283.559  429.441]
[1287.321  430.679]
[1288.077  430.923]
[1291.779  432.221]
[1292.532  432.468]
[1296.295  433.705]
[1297.041  433.959]
[1300.795  435.205]
[1301.536  435.464]
[1305.261  436.739]
[1306.024  436.976]
[1309.765  438.235]
[1310.532  438.468]
[1314.267  439.733]
[1315.023  439.977]
[1318.816  441.184]
[1319.558  441.442]
[1323.34  442.66]
[1324.078  442.922]
[1327.828  444.172]
[1328.603  444.397]
[1332.398  445.602]
[1333.137  445.863]
[1336.926  447.074]
[1337.7  447.3]
[1341.487  448.513]
[1342.208  448.792]
[1345.953  450.047]
[1346.708  450.292]
[1350.46  451.54]
[1351.23  451.77]
[1354.905  453.095]
[1355.652  453.348]
[1359.404  454.596]
[1360.172  454.828]
[1363.944  456.056]
[1364.677  456.323]
[1368.422  457.578]
[1369.157  457.843]
[1372.868  459.132]
[1373.6  459.4]
[1377.423  460.577]
[1378.186  460.814]
[1381.942  462.058]
[1382.697  462.303]
[1386.459  463.541]
[1387.245  463.755]
[1390.976  465.024]
[1391.685  465.315]
[1395.44  466.56]
[1396.18  466.82]
[1399.934  468.066]
[1400.686  468.314]
[1404.435  469.565]
[1405.17  469.83]
[1408.88  471.12]
[1409.629  471.371]
[1413.364  472.636]
[1414.125  472.875]
[1417.818  474.182]
[1418.57  474.43]
[1422.363  475.637]
[1423.096  475.904]
[1426.831  477.169]
[1427.573  477.427]
[1431.363  478.637]
[1432.11  478.89]
[1435.851  480.149]
[1436.584  480.416]
[1440.349  481.651]
[1441.098  481.902]
[1444.812  483.188]
[1445.572  483.428]
[1449.347  484.653]
[1450.098  484.902]
[1453.848  486.152]
[1454.595  486.405]
[1458.404  487.596]
[1459.163  487.837]
[1462.915  489.085]
[1463.686  489.314]
[1467.436  490.564]
[1468.186  490.814]
[1471.893  492.107]
[1472.639  492.361]
[1476.41  493.59]
[1477.16  493.84]
[1480.881  495.119]
[1481.629  495.371]
[1485.356  496.644]
[1486.117  496.883]
[1489.849  498.151]
[1490.603  498.397]
[1494.396  499.604]
[1495.159  499.841]
[1498.875  501.125]
[1499.625  501.375]
[1503.364  502.636]
[1504.12  502.88]
[1507.877  504.123]
[1508.607  504.393]
[1512.353  505.647]
[1513.107  505.893]
[1516.847  507.153]
[1517.599  507.401]
[1521.39  508.61]
[1522.135  508.865]
[1525.896  510.104]
[1526.646  510.354]
[1530.359  511.641]
[1531.106  511.894]
[1534.874  513.126]
[1535.643  513.357]
[1539.391  514.609]
[1540.132  514.868]
[1543.873  516.127]
[1544.622  516.378]
[1548.351  517.649]
[1549.119  517.881]
[1552.916  519.084]
[1553.663  519.337]
[1557.378  520.622]
[1558.128  520.872]
[1561.882  522.118]
[1562.639  522.361]
[1566.443  523.557]
[1567.174  523.826]
[1570.923  525.077]
[1571.646  525.354]
[1575.389  526.611]
[1576.149  526.851]
[1579.93  528.07]
[1580.647  528.353]
[1584.418  529.582]
[1585.187  529.813]
[1588.94  531.06]
[1589.702  531.298]
[1593.467  532.533]
[1594.211  532.789]
[1598.001  533.999]
[1598.736  534.264]
[1602.507  535.493]
[1603.259  535.741]
[1606.977  537.023]
[1607.723  537.277]
[1611.443  538.557]
[1612.181  538.819]
[1615.922  540.078]
[1616.665  540.335]
[1620.455  541.545]
[1621.195  541.805]
[1624.939  543.061]
[1625.668  543.332]
[1629.41  544.59]
[1630.153  544.847]
[1633.947  546.053]
[1634.715  546.285]
[1638.465  547.535]
[1639.216  547.784]
[1642.963  549.037]
[1643.716  549.284]
[1647.419  550.581]
[1648.163  550.837]
[1651.891  552.109]
[1652.633  552.367]
[1656.4  553.6]
[1657.158  553.842]
[1660.902  555.098]
[1661.655  555.345]
[1665.406  556.594]
[1666.149  556.851]
[1669.938  558.062]
[1670.701  558.299]
[1674.49  559.51]
[1675.229  559.771]
[1678.977  561.023]
[1679.724  561.276]
[1683.477  562.523]
[1684.243  562.757]
[1688.013  563.987]
[1688.769  564.231]
[1692.495  565.505]
[1693.238  565.762]
[1697.035  566.965]
[1697.782  567.218]
[1701.507  568.493]
[1702.255  568.745]
[1706.006  569.994]
[1706.759  570.241]
[1710.555  571.445]
[1711.328  571.672]
[1715.086  572.914]
[1715.83  573.17]
[1719.57  574.43]
[1720.339  574.661]
[1724.11  575.89]
[1724.866  576.134]
[1728.671  577.329]
[1729.422  577.578]
[1733.166  578.834]
[1733.923  579.077]
[1737.695  580.305]
[1738.444  580.556]
[1742.17  581.83]
[1742.913  582.087]
[1746.684  583.316]
[1747.458  583.542]
[1751.281  584.719]
[1752.015  584.985]
[1755.672  586.328]
[1756.401  586.599]
[1760.146  587.854]
[1760.915  588.085]
[1764.679  589.321]
[1765.421  589.579]
[1769.21  590.79]
[1769.958  591.042]
[1773.726  592.274]
[1774.491  592.509]
[1778.252  593.748]
[1779.005  593.995]
[1782.749  595.251]
[1783.492  595.508]
[1787.213  596.787]
[1788.001  596.999]
[1791.738  598.262]
[1792.486  598.514]
[1796.222  599.778]
[1796.986  600.014]
[1800.743  601.257]
[1801.485  601.515]
[1805.22  602.78]
[1805.974  603.026]
[1809.68  604.32]
[1810.443  604.557]
[1814.144  605.856]
[1814.898  606.102]
[1818.623  607.377]
[1819.367  607.633]
[1823.174  608.826]
[1823.93  609.07]
[1827.695  610.305]
[1828.446  610.554]
