[alpha, beta]
[274.03 272.97]
[276.528 275.472]
[279.032 277.968]
[281.484 280.516]
[284.006 282.994]
[286.529 285.471]
[289.002 287.998]
[291.487 290.513]
[293.995 293.005]
[296.456 295.544]
[298.944 298.056]
[301.418 300.582]
[303.862 303.138]
[306.336 305.664]
[308.818 308.182]
[311.289 310.711]
[313.78 313.22]
[316.29 315.71]
[318.749 318.251]
[321.221 320.779]
[323.706 323.294]
[326.199 325.801]
[328.694 328.306]
[331.221 330.779]
[333.715 333.285]
[336.216 335.784]
[338.672 338.328]
[341.207 340.793]
[343.731 343.269]
[346.249 345.751]
[348.711 348.289]
[351.212 350.788]
[353.725 353.275]
[356.263 355.737]
[358.776 358.224]
[361.281 360.719]
[363.82 363.18]
[366.262 365.738]
[368.691 368.309]
[371.186 370.814]
[373.706 373.294]
[376.145 375.855]
[378.673 378.327]
[381.197 380.803]
[383.664 383.336]
[386.13 385.87]
[388.63 388.37]
[391.189 390.811]
[393.716 393.284]
[396.184 395.816]
[398.694 398.306]
[401.188 400.812]
[403.701 403.299]
[406.21 405.79]
[408.741 408.259]
[411.186 410.814]
[413.656 413.344]
[416.153 415.847]
[418.675 418.325]
[421.179 420.821]
[423.718 423.282]
[426.133 425.867]
[428.664 428.336]
[431.109 430.891]
[433.613 433.387]
[436.111 435.889]
[438.571 438.429]
[441.017 440.983]
[443.456 443.544]
[445.983 446.017]
[448.521 448.479]
[451.035 450.965]
[453.502 453.498]
[455.984 456.016]
[458.489 458.511]
[461.01 460.99]
[463.497 463.503]
[465.947 466.053]
[468.44 468.56]
[470.911 471.089]
[473.394 473.606]
[475.87 476.13]
[478.389 478.611]
[480.923 481.077]
[483.473 483.527]
[485.942 486.058]
[488.448 488.552]
[490.89 491.11]
[493.364 493.636]
[495.833 496.167]
[498.319 498.681]
[500.807 501.193]
[503.316 503.684]
[505.858 506.142]
[508.338 508.662]
[510.835 511.165]
[513.343 513.657]
[515.741 516.259]
[518.208 518.792]
[520.632 521.368]
[523.14 523.86]
[525.658 526.342]
[528.197 528.803]
[530.696 531.304]
[533.228 533.772]
[535.752 536.248]
[538.294 538.706]
[540.905 541.095]
[543.457 543.543]
[545.898 546.102]
[548.376 548.624]
[550.841 551.159]
[553.353 553.647]
[555.875 556.125]
[558.384 558.616]
[560.923 561.077]
[563.411 563.589]
[565.923 566.077]
[568.447 568.553]
[570.951 571.049]
[573.408 573.592]
[575.925 576.075]
[578.421 578.579]
[580.898 581.102]
[583.386 583.614]
[585.866 586.134]
[588.411 588.589]
[590.913 591.087]
[593.464 593.536]
[595.951 596.049]
[598.475 598.525]
[601.007 600.993]
[603.505 603.495]
[605.99 606.01]
[608.475 608.525]
[610.971 611.029]
[613.454 613.546]
[616.018 615.982]
[618.531 618.469]
[621.05 620.95]
[623.5 623.5]
[625.998 626.002]
[628.491 628.509]
[630.965 631.035]
[633.449 633.551]
[635.938 636.062]
[638.501 638.499]
[640.996 641.004]
[643.419 643.581]
[645.984 646.016]
[648.501 648.499]
[650.982 651.018]
[653.533 653.467]
[656.026 655.974]
[658.542 658.458]
[661.061 660.939]
[663.633 663.367]
[666.165 665.835]
[668.692 668.308]
[671.189 670.811]
[673.664 673.336]
[676.166 675.834]
[678.684 678.316]
[681.18 680.82]
[683.767 683.233]
[686.214 685.786]
[688.798 688.202]
[691.294 690.706]
[693.742 693.258]
[696.301 695.699]
[698.754 698.246]
[701.243 700.757]
[703.735 703.265]
[706.255 705.745]
[708.771 708.229]
[711.264 710.736]
[713.755 713.245]
[716.288 715.712]
[718.742 718.258]
[721.192 720.808]
[723.744 723.256]
[726.257 725.743]
[728.766 728.234]
[731.24 730.76]
[733.776 733.224]
[736.301 735.699]
[738.829 738.171]
[741.27 740.73]
[743.812 743.188]
[746.375 745.625]
[748.901 748.099]
[751.35 750.65]
[753.854 753.146]
[756.332 755.668]
[758.802 758.198]
[761.319 760.681]
[763.845 763.155]
[766.357 765.643]
[768.847 768.153]
[771.336 770.664]
[773.83 773.17]
[776.311 775.689]
[778.772 778.228]
[781.355 780.645]
[783.9 783.1]
[786.412 785.588]
[788.918 788.082]
[791.384 790.616]
[793.883 793.117]
[796.35 795.65]
[798.869 798.131]
[801.308 800.692]
[803.807 803.193]
[806.294 805.706]
[808.773 808.227]
[811.207 810.793]
[813.677 813.323]
[816.15 815.85]
[818.6 818.4]
[821.102 820.898]
[823.585 823.415]
[826.09 825.91]
[828.534 828.466]
[831.008 830.992]
[833.477 833.523]
[835.969 836.031]
[838.475 838.525]
[841.027 840.973]
[843.587 843.413]
[846.026 845.974]
[848.533 848.467]
[851.045 850.955]
[853.57 853.43]
[856.133 855.867]
[858.595 858.405]
[861.108 860.892]
[863.6 863.4]
[866.127 865.873]
[868.657 868.343]
[871.151 870.849]
[873.7 873.3]
[876.244 875.756]
[878.784 878.216]
[881.308 880.692]
[883.761 883.239]
[886.333 885.667]
[888.824 888.176]
[891.294 890.706]
[893.759 893.241]
[896.267 895.733]
[898.747 898.253]
[901.245 900.755]
[903.749 903.251]
[906.236 905.764]
[908.786 908.214]
[911.333 910.667]
[913.88 913.12]
[916.371 915.629]
[918.88 918.12]
[921.333 920.667]
[923.801 923.199]
[926.246 925.754]
[928.727 928.273]
[931.266 930.734]
[933.817 933.183]
[936.286 935.714]
[938.731 938.269]
[941.206 940.794]
[943.696 943.304]
[946.22 945.78]
[948.737 948.263]
[951.208 950.792]
[953.762 953.238]
[956.239 955.761]
[958.697 958.303]
[961.225 960.775]
[963.66 963.34]
[966.135 965.865]
[968.647 968.353]
[971.152 970.848]
[973.679 973.321]
[976.154 975.846]
[978.635 978.365]
[981.118 980.882]
[983.689 983.311]
[986.22 985.78]
[988.659 988.341]
[991.175 990.825]
[993.714 993.286]
[996.199 995.801]
[998.712 998.288]
[1001.243 1000.757]
[1003.754 1003.246]
[1006.278 1005.722]
[1008.812 1008.188]
[1011.199 1010.801]
[1013.74 1013.26]
[1016.219 1015.781]
[1018.696 1018.304]
[1021.197 1020.803]
[1023.657 1023.343]
[1026.142 1025.858]
[1028.643 1028.357]
[1031.22 1030.78]
[1033.715 1033.285]
[1036.223 1035.777]
[1038.716 1038.284]
[1041.238 1040.762]
[1043.687 1043.313]
[1046.161 1045.839]
[1048.674 1048.326]
[1051.234 1050.766]
[1053.722 1053.278]
[1056.262 1055.738]
[1058.785 1058.215]
[1061.257 1060.743]
[1063.678 1063.322]
[1066.162 1065.838]
[1068.611 1068.389]
[1071.139 1070.861]
[1073.666 1073.334]
[1076.174 1075.826]
[1078.654 1078.346]
[1081.173 1080.827]
[1083.687 1083.313]
[1086.174 1085.826]
[1088.677 1088.323]
[1091.2 1090.8]
[1093.685 1093.315]
[1096.188 1095.812]
[1098.727 1098.273]
[1101.229 1100.771]
[1103.707 1103.293]
[1106.194 1105.806]
[1108.681 1108.319]
[1111.162 1110.838]
[1113.655 1113.345]
[1116.092 1115.908]
[1118.61 1118.39]
[1121.131 1120.869]
[1123.643 1123.357]
[1126.086 1125.914]
[1128.597 1128.403]
[1131.096 1130.904]
[1133.615 1133.385]
[1136.119 1135.881]
[1138.666 1138.334]
[1141.168 1140.832]
[1143.688 1143.312]
[1146.175 1145.825]
[1148.652 1148.348]
[1151.184 1150.816]
[1153.741 1153.259]
[1156.264 1155.736]
[1158.755 1158.245]
[1161.203 1160.797]
[1163.705 1163.295]
[1166.214 1165.786]
[1168.724 1168.276]
[1171.199 1170.801]
[1173.705 1173.295]
[1176.177 1175.823]
[1178.605 1178.395]
[1181.138 1180.862]
[1183.65 1183.35]
[1186.134 1185.866]
[1188.655 1188.345]
[1191.145 1190.855]
[1193.621 1193.379]
[1196.113 1195.887]
[1198.555 1198.445]
[1201.09 1200.91]
[1203.561 1203.439]
[1206.139 1205.861]
[1208.655 1208.345]
[1211.185 1210.815]
[1213.743 1213.257]
[1216.244 1215.756]
[1218.744 1218.256]
[1221.275 1220.725]
[1223.769 1223.231]
[1226.21 1225.79]
[1228.709 1228.291]
[1231.217 1230.783]
[1233.689 1233.311]
[1236.193 1235.807]
[1238.724 1238.276]
[1241.212 1240.788]
[1243.699 1243.301]
[1246.223 1245.777]
[1248.74 1248.26]
[1251.221 1250.779]
[1251.74 1251.26]
[1252.248 1251.752]
[1252.768 1252.232]
[1253.281 1252.719]
[1253.799 1253.201]
[1254.304 1253.696]
[1254.8 1254.2]
[1255.295 1254.705]
[1255.803 1255.197]
[1256.301 1255.699]
[1256.81 1256.19]
[1257.339 1256.661]
[1257.854 1257.146]
[1258.35 1257.65]
[1258.844 1258.156]
[1259.328 1258.672]
[1259.835 1259.165]
[1260.35 1259.65]
[1260.836 1260.164]
[1261.315 1260.685]
[1261.809 1261.191]
[1262.311 1261.689]
[1262.809 1262.191]
[1263.28 1262.72]
[1263.751 1263.249]
[1264.28 1263.72]
[1264.796 1264.204]
[1265.28 1264.72]
[1265.797 1265.203]
[1266.304 1265.696]
[1266.802 1266.198]
[1267.318 1266.682]
[1267.804 1267.196]
[1268.321 1267.679]
[1268.832 1268.168]
[1269.335 1268.665]
[1269.849 1269.151]
[1270.365 1269.635]
[1270.884 1270.116]
[1271.379 1270.621]
[1271.866 1271.134]
[1272.37 1271.63]
[1272.848 1272.152]
[1273.33 1272.67]
[1273.826 1273.174]
[1274.348 1273.652]
[1274.86 1274.14]
[1275.33 1274.67]
[1275.837 1275.163]
[1276.333 1275.667]
[1276.828 1276.172]
[1277.344 1276.656]
[1277.82 1277.18]
[1278.292 1277.708]
[1278.778 1278.222]
[1279.27 1278.73]
[1279.757 1279.243]
[1280.258 1279.742]
[1280.748 1280.252]
[1281.24 1280.76]
[1281.709 1281.291]
[1282.249 1281.751]
[1282.755 1282.245]
[1283.263 1282.737]
[1283.785 1283.215]
[1284.282 1283.718]
[1284.761 1284.239]
[1285.258 1284.742]
[1285.761 1285.239]
[1286.246 1285.754]
[1286.743 1286.257]
[1287.251 1286.749]
[1287.735 1287.265]
[1288.242 1287.758]
[1288.711 1288.289]
[1289.222 1288.778]
[1289.7 1289.3]
[1290.209 1289.791]
[1290.71 1290.29]
[1291.199 1290.801]
[1291.701 1291.299]
[1292.185 1291.815]
[1292.727 1292.273]
[1293.24 1292.76]
[1293.783 1293.217]
[1294.302 1293.698]
[1294.832 1294.168]
[1295.345 1294.655]
[1295.817 1295.183]
[1296.339 1295.661]
[1296.81 1296.19]
[1297.284 1296.716]
[1297.782 1297.218]
[1298.268 1297.732]
[1298.777 1298.223]
[1299.288 1298.712]
[1299.759 1299.241]
[1300.251 1299.749]
[1300.752 1300.248]
[1301.261 1300.739]
[1301.757 1301.243]
[1302.276 1301.724]
[1302.767 1302.233]
[1303.269 1302.731]
[1303.778 1303.222]
[1304.263 1303.737]
[1304.753 1304.247]
[1305.27 1304.73]
[1305.78 1305.22]
[1306.275 1305.725]
[1306.758 1306.242]
[1307.278 1306.722]
[1307.783 1307.217]
[1308.299 1307.701]
[1308.776 1308.224]
[1309.279 1308.721]
[1309.788 1309.212]
[1310.31 1309.69]
[1310.837 1310.163]
[1311.302 1310.698]
[1311.795 1311.205]
[1312.31 1311.69]
[1312.838 1312.162]
[1313.34 1312.66]
[1313.85 1313.15]
[1314.354 1313.646]
[1314.834 1314.166]
[1315.342 1314.658]
[1315.851 1315.149]
[1316.378 1315.622]
[1316.895 1316.105]
[1317.366 1316.634]
[1317.877 1317.123]
[1318.389 1317.611]
[1318.902 1318.098]
[1319.403 1318.597]
[1319.91 1319.09]
[1320.387 1319.613]
[1320.859 1320.141]
[1321.367 1320.633]
[1321.879 1321.121]
[1322.365 1321.635]
[1322.828 1322.172]
[1323.33 1322.67]
[1323.829 1323.171]
[1324.34 1323.66]
[1324.831 1324.169]
[1325.317 1324.683]
[1325.829 1325.171]
[1326.322 1325.678]
[1326.82 1326.18]
[1327.325 1326.675]
[1327.817 1327.183]
[1328.309 1327.691]
[1328.768 1328.232]
[1329.264 1328.736]
[1329.758 1329.242]
[1330.284 1329.716]
[1330.782 1330.218]
[1331.301 1330.699]
[1331.809 1331.191]
[1332.315 1331.685]
[1332.799 1332.201]
[1333.31 1332.69]
[1333.816 1333.184]
[1334.316 1333.684]
[1334.824 1334.176]
[1335.298 1334.702]
[1335.791 1335.209]
[1336.296 1335.704]
[1336.802 1336.198]
[1337.309 1336.691]
[1337.824 1337.176]
[1338.325 1337.675]
[1338.814 1338.186]
[1339.323 1338.677]
[1339.827 1339.173]
[1340.31 1339.69]
[1340.805 1340.195]
[1341.321 1340.679]
[1341.827 1341.173]
[1342.345 1341.655]
[1342.849 1342.151]
[1343.345 1342.655]
[1343.857 1343.143]
[1344.373 1343.627]
[1344.87 1344.13]
[1345.397 1344.603]
[1345.901 1345.099]
[1346.403 1345.597]
[1346.938 1346.062]
[1347.45 1346.55]
[1347.93 1347.07]
[1348.415 1347.585]
[1348.953 1348.047]
[1349.462 1348.538]
[1349.942 1349.058]
[1350.428 1349.572]
[1350.917 1350.083]
[1351.417 1350.583]
[1351.94 1351.06]
[1352.413 1351.587]
[1352.935 1352.065]
[1353.414 1352.586]
[1353.914 1353.086]
[1354.411 1353.589]
[1354.906 1354.094]
[1355.406 1354.594]
[1355.912 1355.088]
[1356.409 1355.591]
[1356.898 1356.102]
[1357.386 1356.614]
[1357.891 1357.109]
[1358.368 1357.632]
[1358.847 1358.153]
[1359.329 1358.671]
[1359.823 1359.177]
[1360.319 1359.681]
[1360.821 1360.179]
[1361.32 1360.68]
[1361.827 1361.173]
[1362.326 1361.674]
[1362.872 1362.128]
[1363.374 1362.626]
[1363.896 1363.104]
[1364.404 1363.596]
[1364.907 1364.093]
[1365.405 1364.595]
[1365.895 1365.105]
[1366.409 1365.591]
[1366.922 1366.078]
[1367.413 1366.587]
[1367.932 1367.068]
[1368.407 1367.593]
[1368.939 1368.061]
[1369.403 1368.597]
[1369.889 1369.111]
[1370.394 1369.606]
[1370.873 1370.127]
[1371.399 1370.601]
[1371.916 1371.084]
[1372.415 1371.585]
[1372.916 1372.084]
[1373.391 1372.609]
[1373.886 1373.114]
[1374.383 1373.617]
[1374.89 1374.11]
[1375.379 1374.621]
[1375.869 1375.131]
[1376.359 1375.641]
[1376.864 1376.136]
[1377.384 1376.616]
[1377.931 1377.069]
[1378.424 1377.576]
[1378.94 1378.06]
[1379.468 1378.532]
[1379.951 1379.049]
[1380.451 1379.549]
[1380.949 1380.051]
[1381.469 1380.531]
[1381.96 1381.04]
[1382.473 1381.527]
[1382.974 1382.026]
[1383.451 1382.549]
[1383.932 1383.068]
[1384.398 1383.602]
[1384.876 1384.124]
[1385.373 1384.627]
[1385.868 1385.132]
[1386.366 1385.634]
[1386.862 1386.138]
[1387.36 1386.64]
[1387.851 1387.149]
[1388.371 1387.629]
[1388.872 1388.128]
[1389.363 1388.637]
[1389.875 1389.125]
[1390.34 1389.66]
[1390.858 1390.142]
[1391.372 1390.628]
[1391.87 1391.13]
[1392.395 1391.605]
[1392.874 1392.126]
[1393.382 1392.618]
[1393.871 1393.129]
[1394.389 1393.611]
[1394.889 1394.111]
[1395.378 1394.622]
[1395.88 1395.12]
[1396.386 1395.614]
[1396.885 1396.115]
[1397.385 1396.615]
[1397.899 1397.101]
[1398.406 1397.594]
[1398.904 1398.096]
[1399.406 1398.594]
[1399.917 1399.083]
[1400.439 1399.561]
[1400.951 1400.049]
[1401.452 1400.548]
[1401.953 1401.047]
[1402.448 1401.552]
[1402.939 1402.061]
[1403.403 1402.597]
[1403.899 1403.101]
[1404.387 1403.613]
[1404.895 1404.105]
[1405.413 1404.587]
[1405.875 1405.125]
[1406.41 1405.59]
[1406.929 1406.071]
[1407.412 1406.588]
[1407.904 1407.096]
[1408.407 1407.593]
[1408.92 1408.08]
[1409.433 1408.567]
[1409.934 1409.066]
[1410.43 1409.57]
[1410.935 1410.065]
[1411.434 1410.566]
[1411.952 1411.048]
[1412.468 1411.532]
[1412.962 1412.038]
[1413.433 1412.567]
[1413.924 1413.076]
[1414.398 1413.602]
[1414.897 1414.103]
[1415.397 1414.603]
[1415.872 1415.128]
[1416.398 1415.602]
[1416.911 1416.089]
[1417.42 1416.58]
[1417.929 1417.071]
[1418.429 1417.571]
[1418.931 1418.069]
[1419.427 1418.573]
[1419.904 1419.096]
[1420.398 1419.602]
[1420.899 1420.101]
[1421.402 1420.598]
[1421.908 1421.092]
[1422.41 1421.59]
[1422.872 1422.128]
[1423.361 1422.639]
[1423.87 1423.13]
[1424.376 1423.624]
[1424.887 1424.113]
[1425.4 1424.6]
[1425.91 1425.09]
[1426.411 1425.589]
[1426.904 1426.096]
[1427.406 1426.594]
[1427.918 1427.082]
[1428.417 1427.583]
[1428.926 1428.074]
[1429.43 1428.57]
[1429.932 1429.068]
[1430.43 1429.57]
[1430.944 1430.056]
[1431.458 1430.542]
[1431.972 1431.028]
[1432.464 1431.536]
[1432.961 1432.039]
[1433.47 1432.53]
[1433.967 1433.033]
[1434.468 1433.532]
[1434.943 1434.057]
[1435.431 1434.569]
[1435.92 1435.08]
[1436.455 1435.545]
[1436.949 1436.051]
[1437.494 1436.506]
[1437.983 1437.017]
[1438.495 1437.505]
[1438.971 1438.029]
[1439.468 1438.532]
[1439.978 1439.022]
[1440.518 1439.482]
[1441.01 1439.99]
[1441.512 1440.488]
[1441.999 1441.001]
[1442.514 1441.486]
[1443.021 1441.979]
[1443.535 1442.465]
[1444.024 1442.976]
[1444.519 1443.481]
[1445.017 1443.983]
[1445.536 1444.464]
[1446.033 1444.967]
[1446.527 1445.473]
[1447.036 1445.964]
[1447.558 1446.442]
[1448.079 1446.921]
[1448.57 1447.43]
[1449.079 1447.921]
[1449.595 1448.405]
[1450.098 1448.902]
[1450.614 1449.386]
[1451.114 1449.886]
[1451.614 1450.386]
[1452.109 1450.891]
[1452.584 1451.416]
[1453.085 1451.915]
[1453.584 1452.416]
[1454.114 1452.886]
[1454.602 1453.398]
[1455.112 1453.888]
[1455.613 1454.387]
[1456.125 1454.875]
[1456.609 1455.391]
[1457.11 1455.89]
[1457.607 1456.393]
[1458.115 1456.885]
[1458.618 1457.382]
[1459.132 1457.868]
[1459.623 1458.377]
[1460.13 1458.87]
[1460.612 1459.388]
[1461.097 1459.903]
[1461.633 1460.367]
[1462.124 1460.876]
[1462.635 1461.365]
[1463.137 1461.863]
[1463.639 1462.361]
[1464.125 1462.875]
[1464.632 1463.368]
[1465.138 1463.862]
[1465.631 1464.369]
[1466.13 1464.87]
[1466.627 1465.373]
[1467.133 1465.867]
[1467.641 1466.359]
[1468.134 1466.866]
[1468.654 1467.346]
[1469.175 1467.825]
[1469.665 1468.335]
[1470.173 1468.827]
[1470.64 1469.36]
[1471.134 1469.866]
[1471.642 1470.358]
[1472.133 1470.867]
[1472.618 1471.382]
[1473.12 1471.88]
[1473.605 1472.395]
[1474.106 1472.894]
[1474.568 1473.432]
[1475.054 1473.946]
[1475.568 1474.432]
[1476.045 1474.955]
[1476.55 1475.45]
[1477.088 1475.912]
[1477.586 1476.414]
[1478.077 1476.923]
[1478.573 1477.427]
[1479.084 1477.916]
[1479.574 1478.426]
[1480.092 1478.908]
[1480.57 1479.43]
[1481.058 1479.942]
[1481.583 1480.417]
[1482.087 1480.913]
[1482.585 1481.415]
[1483.078 1481.922]
[1483.574 1482.426]
[1484.063 1482.937]
[1484.575 1483.425]
[1485.086 1483.914]
[1485.605 1484.395]
[1486.093 1484.907]
[1486.617 1485.383]
[1487.15 1485.85]
[1487.642 1486.358]
[1488.149 1486.851]
[1488.655 1487.345]
[1489.164 1487.836]
[1489.632 1488.368]
[1490.121 1488.879]
[1490.624 1489.376]
[1491.116 1489.884]
[1491.594 1490.406]
[1492.124 1490.876]
[1492.621 1491.379]
[1493.125 1491.875]
[1493.635 1492.365]
[1494.124 1492.876]
[1494.638 1493.362]
[1495.117 1493.883]
[1495.607 1494.393]
[1496.093 1494.907]
[1496.596 1495.404]
[1497.101 1495.899]
[1497.63 1496.37]
[1498.145 1496.855]
[1498.639 1497.361]
[1499.126 1497.874]
[1499.655 1498.345]
[1500.14 1498.86]
[1500.64 1499.36]
[1501.148 1499.852]
[1501.665 1500.335]
