[alpha, beta]
[1996.63  667.37]
[1997.38  667.62]
[1998.116  667.884]
[1998.86  668.14]
[1999.611  668.389]
[2000.349  668.651]
[2001.123  668.877]
[2001.863  669.137]
[2002.599  669.401]
[2003.339  669.661]
[2004.082  669.918]
[2004.818  670.182]
[2005.563  670.437]
[2006.338  670.662]
[2007.076  670.924]
[2007.807  671.193]
[2008.546  671.454]
[2009.314  671.686]
[2010.077  671.923]
[2010.802  672.198]
[2011.569  672.431]
[2012.345  672.655]
[2013.094  672.906]
[2013.834  673.166]
[2014.572  673.428]
[2015.317  673.683]
[2016.049  673.951]
[2016.765  674.235]
[2017.522  674.478]
[2018.263  674.737]
[2019.015  674.985]
[2019.774  675.226]
[2020.531  675.469]
[2021.276  675.724]
[2022.001  675.999]
[2022.763  676.237]
[2023.496  676.504]
[2024.253  676.747]
[2025.019  676.981]
[2025.779  677.221]
[2026.529  677.471]
[2027.259  677.741]
[2028.008  677.992]
[2028.747  678.253]
[2029.486  678.514]
[2030.225  678.775]
[2030.962  679.038]
[2031.688  679.312]
[2032.434  679.566]
[2033.194  679.806]
[2033.933  680.067]
[2034.696  680.304]
[2035.448  680.552]
[2036.207  680.793]
[2036.958  681.042]
[2037.731  681.269]
[2038.487  681.513]
[2039.226  681.774]
[2039.968  682.032]
[2040.724  682.276]
[2041.442  682.558]
[2042.189  682.811]
[2042.935  683.065]
[2043.681  683.319]
[2044.423  683.577]
[2045.187  683.813]
[2045.939  684.061]
[2046.684  684.316]
[2047.415  684.585]
[2048.154  684.846]
[2048.9  685.1]
[2049.651  685.349]
[2050.383  685.617]
[2051.125  685.875]
[2051.869  686.131]
[2052.652  686.348]
[2053.403  686.597]
[2054.162  686.838]
[2054.932  687.068]
[2055.677  687.323]
[2056.415  687.585]
[2057.147  687.853]
[2057.906  688.094]
[2058.636  688.364]
[2059.362  688.638]
[2060.099  688.901]
[2060.855  689.145]
[2061.608  689.392]
[2062.377  689.623]
[2063.113  689.887]
[2063.864  690.136]
[2064.603  690.397]
[2065.333  690.667]
[2066.107  690.893]
[2066.851  691.149]
[2067.634  691.366]
[2068.405  691.595]
[2069.153  691.847]
[2069.904  692.096]
[2070.657  692.343]
[2071.422  692.578]
[2072.171  692.829]
[2072.902  693.098]
[2073.683  693.317]
[2074.445  693.555]
[2075.208  693.792]
[2075.934  694.066]
[2076.662  694.338]
[2077.432  694.568]
[2078.196  694.804]
[2078.933  695.067]
[2079.707  695.293]
[2080.439  695.561]
[2081.178  695.822]
[2081.967  696.033]
[2082.707  696.293]
[2083.447  696.553]
[2084.186  696.814]
[2084.968  697.032]
[2085.72  697.28]
[2086.457  697.543]
[2087.243  697.757]
[2088.  698.]
[2088.737  698.263]
[2089.475  698.525]
[2090.251  698.749]
[2091.004  698.996]
[2091.745  699.255]
[2092.502  699.498]
[2093.249  699.751]
[2093.994  700.006]
[2094.73  700.27]
[2095.506  700.494]
[2096.292  700.708]
[2097.043  700.957]
[2097.795  701.205]
[2098.547  701.453]
[2099.29  701.71]
[2100.042  701.958]
[2100.786  702.214]
[2101.545  702.455]
[2102.306  702.694]
[2103.06  702.94]
[2103.819  703.181]
[2104.585  703.415]
[2105.329  703.671]
[2106.053  703.947]
[2106.819  704.181]
[2107.562  704.438]
[2108.319  704.681]
[2109.097  704.903]
[2109.824  705.176]
[2110.557  705.443]
[2111.307  705.693]
[2112.045  705.955]
[2112.8  706.2]
[2113.543  706.457]
[2114.318  706.682]
[2115.065  706.935]
[2115.798  707.202]
[2116.555  707.445]
[2117.312  707.688]
[2118.05  707.95]
[2118.817  708.183]
[2119.564  708.436]
[2120.324  708.676]
[2121.065  708.935]
[2121.805  709.195]
[2122.553  709.447]
[2123.322  709.678]
[2124.073  709.927]
[2124.81  710.19]
[2125.55  710.45]
[2126.311  710.689]
[2127.056  710.944]
[2127.794  711.206]
[2128.57  711.43]
[2129.323  711.677]
[2130.081  711.919]
[2130.823  712.177]
[2131.584  712.416]
[2132.331  712.669]
[2133.059  712.941]
[2133.782  713.218]
[2134.535  713.465]
[2135.261  713.739]
[2136.008  713.992]
[2136.759  714.241]
[2137.468  714.532]
[2138.214  714.786]
[2138.961  715.039]
[2139.663  715.337]
[2140.413  715.587]
[2141.165  715.835]
[2141.919  716.081]
[2142.67  716.33]
[2143.417  716.583]
[2144.146  716.854]
[2144.915  717.085]
[2145.641  717.359]
[2146.359  717.641]
[2147.107  717.893]
[2147.848  718.152]
[2148.606  718.394]
[2149.363  718.637]
[2150.107  718.893]
[2150.858  719.142]
[2151.617  719.383]
[2152.35  719.65]
[2153.126  719.874]
[2153.889  720.111]
[2154.654  720.346]
[2155.4  720.6]
[2156.123  720.877]
[2156.851  721.149]
[2157.597  721.403]
[2158.344  721.656]
[2159.081  721.919]
[2159.824  722.176]
[2160.591  722.409]
[2161.349  722.651]
[2162.1  722.9]
[2162.865  723.135]
[2163.618  723.382]
[2164.357  723.643]
[2165.103  723.897]
[2165.829  724.171]
[2166.576  724.424]
[2167.321  724.679]
[2168.06  724.94]
[2168.776  725.224]
[2169.52  725.48]
[2170.277  725.723]
[2170.996  726.004]
[2171.736  726.264]
[2172.491  726.509]
[2173.236  726.764]
[2173.983  727.017]
[2174.739  727.261]
[2175.488  727.512]
[2176.231  727.769]
[2176.98  728.02]
[2177.727  728.273]
[2178.458  728.542]
[2179.197  728.803]
[2179.932  729.068]
[2180.681  729.319]
[2181.436  729.564]
[2182.18  729.82]
[2182.92  730.08]
[2183.664  730.336]
[2184.4  730.6]
[2185.155  730.845]
[2185.917  731.083]
[2186.669  731.331]
[2187.406  731.594]
[2188.183  731.817]
[2188.932  732.068]
[2189.675  732.325]
[2190.419  732.581]
[2191.16  732.84]
[2191.913  733.087]
[2192.665  733.335]
[2193.412  733.588]
[2194.163  733.837]
[2194.911  734.089]
[2195.663  734.337]
[2196.412  734.588]
[2197.184  734.816]
[2197.935  735.065]
[2198.694  735.306]
[2199.438  735.562]
[2200.208  735.792]
[2200.966  736.034]
[2201.71  736.29]
[2202.452  736.548]
[2203.195  736.805]
[2203.944  737.056]
[2204.697  737.303]
[2205.46  737.54]
[2206.232  737.768]
[2206.998  738.002]
[2207.746  738.254]
[2208.5  738.5]
[2209.258  738.742]
[2210.016  738.984]
[2210.764  739.236]
[2211.517  739.483]
[2212.271  739.729]
[2213.025  739.975]
[2213.771  740.229]
[2214.521  740.479]
[2215.281  740.719]
[2216.022  740.978]
[2216.764  741.236]
[2217.517  741.483]
[2218.242  741.758]
[2218.988  742.012]
[2219.707  742.293]
[2220.455  742.545]
[2221.209  742.791]
[2221.969  743.031]
[2222.719  743.281]
[2223.462  743.538]
[2224.221  743.779]
[2224.95  744.05]
[2225.695  744.305]
[2226.443  744.557]
[2227.193  744.807]
[2227.939  745.061]
[2228.678  745.322]
[2229.414  745.586]
[2230.154  745.846]
[2230.93  746.07]
[2231.676  746.324]
[2232.415  746.585]
[2233.168  746.832]
[2233.928  747.072]
[2234.687  747.313]
[2235.433  747.567]
[2236.181  747.819]
[2236.926  748.074]
[2237.676  748.324]
[2238.427  748.573]
[2239.166  748.834]
[2239.917  749.083]
[2240.639  749.361]
[2241.391  749.609]
[2242.18  749.82]
[2242.939  750.061]
[2243.701  750.299]
[2244.459  750.541]
[2245.202  750.798]
[2245.944  751.056]
[2246.689  751.311]
[2247.453  751.547]
[2248.212  751.788]
[2248.966  752.034]
[2249.737  752.263]
