[alpha, beta]
[211.737 211.263]
[214.157 213.843]
[214.661 214.339]
[217.143 216.857]
[217.654 217.346]
[220.156 219.844]
[220.657 220.343]
[223.146 222.854]
[223.66 223.34]
[226.186 225.814]
[226.705 226.295]
[229.155 228.845]
[229.681 229.319]
[232.217 231.783]
[232.691 232.309]
[235.103 234.897]
[235.6 235.4]
[238.056 237.944]
[238.572 238.428]
[241.055 240.945]
[241.552 241.448]
[244.034 243.966]
[244.536 244.464]
[247.052 246.948]
[247.556 247.444]
[250.08 249.92]
[250.593 250.407]
[253.095 252.905]
[253.589 253.411]
[256.137 255.863]
[256.638 256.362]
[259.15 258.85]
[259.666 259.334]
[262.137 261.863]
[262.629 262.371]
[265.154 264.846]
[265.634 265.366]
[268.121 267.879]
[268.648 268.352]
[271.127 270.873]
[271.627 271.373]
[274.127 273.873]
[274.656 274.344]
[277.211 276.789]
[277.715 277.285]
[280.222 279.778]
[280.735 280.265]
[283.255 282.745]
[283.764 283.236]
[286.188 285.812]
[286.684 286.316]
[289.24 288.76]
[289.711 289.289]
[292.199 291.801]
[292.721 292.279]
[295.223 294.777]
[295.736 295.264]
[298.255 297.745]
[298.754 298.246]
[301.238 300.762]
[301.731 301.269]
[304.238 303.762]
[304.754 304.246]
[307.253 306.747]
[307.743 307.257]
[310.301 309.699]
[310.792 310.208]
[313.275 312.725]
[313.789 313.211]
[316.3 315.7]
[316.81 316.19]
[319.294 318.706]
[319.778 319.222]
[322.278 321.722]
[322.788 322.212]
[325.234 324.766]
[325.737 325.263]
[328.204 327.796]
[328.716 328.284]
[331.202 330.798]
[331.688 331.312]
[334.106 333.894]
[334.59 334.41]
[337.056 336.944]
[337.572 337.428]
[340.016 339.984]
[340.542 340.458]
[343.028 342.972]
[343.515 343.485]
[346.069 345.931]
[346.567 346.433]
[349.084 348.916]
[349.555 349.445]
[352.059 351.941]
[352.567 352.433]
[355.091 354.909]
[355.617 355.383]
[358.163 357.837]
[358.68 358.32]
[361.14 360.86]
[361.64 361.36]
[364.085 363.915]
[364.607 364.393]
[367.073 366.927]
[367.58 367.42]
[370.152 369.848]
[370.633 370.367]
[373.11 372.89]
[373.612 373.388]
[376.118 375.882]
[376.597 376.403]
[379.129 378.871]
[379.653 379.347]
[382.132 381.868]
[382.629 382.371]
[385.104 384.896]
[385.607 385.393]
[388.147 387.853]
[388.652 388.348]
[391.146 390.854]
[391.646 391.354]
[394.065 393.935]
[394.574 394.426]
[396.997 397.003]
[397.448 397.552]
[399.923 400.077]
[400.425 400.575]
[402.946 403.054]
[403.433 403.567]
[405.874 406.126]
[406.387 406.613]
[408.892 409.108]
[409.392 409.608]
[411.929 412.071]
[412.438 412.562]
[414.951 415.049]
[415.445 415.555]
[417.957 418.043]
[418.456 418.544]
[420.98 421.02]
[421.483 421.517]
[424.026 423.974]
[424.527 424.473]
[427.013 426.987]
[427.523 427.477]
[430.035 429.965]
[430.513 430.487]
[433.019 432.981]
[433.509 433.491]
[436.085 435.915]
[436.584 436.416]
[439.114 438.886]
[439.63 439.37]
[442.133 441.867]
[442.617 442.383]
[445.082 444.918]
[445.615 445.385]
[448.101 447.899]
[448.584 448.416]
[451.09 450.91]
[451.569 451.431]
[454.054 453.946]
[454.576 454.424]
[457.097 456.903]
[457.604 457.396]
[460.082 459.918]
[460.586 460.414]
[463.144 462.856]
[463.623 463.377]
[466.09 465.91]
[466.588 466.412]
[469.041 468.959]
[469.556 469.444]
[472.078 471.922]
[472.574 472.426]
[475.059 474.941]
[475.566 475.434]
[478.008 477.992]
[478.508 478.492]
[480.974 481.026]
[481.474 481.526]
[483.969 484.031]
[484.465 484.535]
[486.925 487.075]
[487.419 487.581]
[489.992 490.008]
[490.472 490.528]
[492.993 493.007]
[493.502 493.498]
[496.005 495.995]
[496.529 496.471]
[499.034 498.966]
[499.554 499.446]
[502.032 501.968]
[502.509 502.491]
[505.112 504.888]
[505.608 505.392]
[508.086 507.914]
[508.618 508.382]
[511.117 510.883]
[511.613 511.387]
[514.118 513.882]
[514.628 514.372]
[517.115 516.885]
[517.598 517.402]
[520.12 519.88]
[520.608 520.392]
[523.088 522.912]
[523.587 523.413]
[526.067 525.933]
[526.593 526.407]
[529.144 528.856]
[529.653 529.347]
[532.166 531.834]
[532.684 532.316]
[535.191 534.809]
[535.693 535.307]
[538.201 537.799]
[538.694 538.306]
[541.162 540.838]
[541.641 541.359]
[544.135 543.865]
[544.631 544.369]
[547.109 546.891]
[547.627 547.373]
[550.08 549.92]
[550.556 550.444]
[553.065 552.935]
[553.572 553.428]
[556.036 555.964]
[556.536 556.464]
[559.042 558.958]
[559.57 559.43]
[562.08 561.92]
[562.574 562.426]
[565.09 564.91]
[565.597 565.403]
[568.124 567.876]
[568.664 568.336]
[571.164 570.836]
[571.658 571.342]
[574.12 573.88]
[574.63 574.37]
[577.14 576.86]
[577.632 577.368]
[580.141 579.859]
[580.617 580.383]
[583.144 582.856]
[583.63 583.37]
[586.143 585.857]
[586.646 586.354]
[589.135 588.865]
[589.625 589.375]
[592.119 591.881]
[592.605 592.395]
[595.123 594.877]
[595.624 595.376]
[598.137 597.863]
[598.62 598.38]
[601.06 600.94]
[601.57 601.43]
[604.068 603.932]
[604.572 604.428]
[607.045 606.955]
[607.551 607.449]
[610.022 609.978]
[610.498 610.502]
[612.971 613.029]
[613.493 613.507]
[615.997 616.003]
[616.494 616.506]
[618.977 619.023]
[619.495 619.505]
[622.028 621.972]
[622.551 622.449]
[625.082 624.918]
[625.619 625.381]
[628.12 627.88]
[628.622 628.378]
[631.096 630.904]
[631.604 631.396]
[634.129 633.871]
[634.624 634.376]
[637.113 636.887]
[637.614 637.386]
[640.146 639.854]
[640.639 640.361]
[643.105 642.895]
[643.631 643.369]
[646.161 645.839]
[646.708 646.292]
[649.202 648.798]
[649.717 649.283]
[652.232 651.768]
[652.744 652.256]
[655.272 654.728]
[655.753 655.247]
[658.259 657.741]
[658.727 658.273]
[661.231 660.769]
[661.721 661.279]
[664.183 663.817]
[664.669 664.331]
[667.157 666.843]
[667.635 667.365]
[670.139 669.861]
[670.643 670.357]
[673.145 672.855]
[673.651 673.349]
[676.155 675.845]
[676.695 676.305]
[679.236 678.764]
[679.71 679.29]
[682.147 681.853]
[682.622 682.378]
[685.192 684.808]
[685.682 685.318]
[688.145 687.855]
[688.628 688.372]
[691.076 690.924]
[691.581 691.419]
[694.047 693.953]
[694.557 694.443]
[697.033 696.967]
[697.531 697.469]
[700.06 699.94]
[700.566 700.434]
[703.064 702.936]
[703.551 703.449]
[706.095 705.905]
[706.593 706.407]
[709.111 708.889]
[709.607 709.393]
[712.136 711.864]
[712.647 712.353]
[715.128 714.872]
[715.651 715.349]
[718.21 717.79]
[718.704 718.296]
[721.226 720.774]
[721.71 721.29]
[724.233 723.767]
[724.72 724.28]
[727.246 726.754]
[727.746 727.254]
[730.169 729.831]
[730.635 730.365]
[733.148 732.852]
[733.648 733.352]
[736.146 735.854]
[736.624 736.376]
[739.123 738.877]
[739.632 739.368]
[742.162 741.838]
[742.697 742.303]
[745.231 744.769]
[745.747 745.253]
[748.263 747.737]
[748.771 748.229]
[751.257 750.743]
[751.758 751.242]
[754.27 753.73]
[754.783 754.217]
[757.323 756.677]
[757.855 757.145]
[760.356 759.644]
[760.867 760.133]
[763.405 762.595]
[763.876 763.124]
[766.356 765.644]
[766.86 766.14]
[769.31 768.69]
[769.801 769.199]
[772.318 771.682]
[772.809 772.191]
[775.334 774.666]
[775.832 775.168]
[778.37 777.63]
[778.865 778.135]
[781.301 780.699]
[781.822 781.178]
[784.322 783.678]
[784.812 784.188]
[787.305 786.695]
[787.803 787.197]
[790.324 789.676]
[790.836 790.164]
[793.314 792.686]
[793.798 793.202]
[796.257 795.743]
[796.75 796.25]
[799.245 798.755]
[799.774 799.226]
[802.304 801.696]
[802.809 802.191]
[805.317 804.683]
[805.796 805.204]
[808.341 807.659]
[808.839 808.161]
[811.361 810.639]
[811.883 811.117]
[814.343 813.657]
[814.854 814.146]
[817.41 816.59]
[817.92 817.08]
[820.488 819.512]
[821.031 819.969]
[823.471 822.529]
[823.962 823.038]
[826.427 825.573]
[826.932 826.068]
[829.452 828.548]
[829.94 829.06]
[832.393 831.607]
[832.874 832.126]
[835.365 834.635]
[835.872 835.128]
[838.388 837.612]
[838.883 838.117]
[841.364 840.636]
[841.866 841.134]
[844.348 843.652]
[844.859 844.141]
[847.356 846.644]
[847.876 847.124]
[850.387 849.613]
[850.894 850.106]
[853.396 852.604]
[853.895 853.105]
[856.397 855.603]
[856.898 856.102]
[859.426 858.574]
[859.927 859.073]
[862.381 861.619]
[862.885 862.115]
[865.397 864.603]
[865.895 865.105]
[868.37 867.63]
[868.881 868.119]
[871.439 870.561]
[871.934 871.066]
[874.412 873.588]
[874.925 874.075]
[877.435 876.565]
[877.915 877.085]
[880.416 879.584]
[880.901 880.099]
[883.422 882.578]
[883.971 883.029]
[886.482 885.518]
[886.988 886.012]
[889.443 888.557]
[889.928 889.072]
[892.475 891.525]
[892.992 892.008]
[895.493 894.507]
[895.997 895.003]
[898.41 897.59]
[898.915 898.085]
[901.413 900.587]
[901.92 901.08]
[904.402 903.598]
[904.926 904.074]
[907.422 906.578]
[907.922 907.078]
[910.419 909.581]
[910.909 910.091]
[913.4 912.6]
[913.892 913.108]
[916.335 915.665]
[916.821 916.179]
[919.295 918.705]
[919.8 919.2]
[922.269 921.731]
[922.776 922.224]
[925.249 924.751]
[925.775 925.225]
[928.154 927.846]
[928.656 928.344]
[931.216 930.784]
[931.679 931.321]
[934.177 933.823]
[934.69 934.31]
[937.19 936.81]
[937.702 937.298]
[940.238 939.762]
[940.734 940.266]
[943.225 942.775]
[943.708 943.292]
[946.209 945.791]
[946.71 946.29]
[949.211 948.789]
[949.689 949.311]
[952.148 951.852]
[952.667 952.333]
[955.15 954.85]
[955.652 955.348]
[958.196 957.804]
[958.716 958.284]
[961.18 960.82]
[961.7 961.3]
[964.213 963.787]
[964.732 964.268]
[967.361 966.639]
[967.851 967.149]
[970.33 969.67]
[970.822 970.178]
[973.321 972.679]
[973.781 973.219]
[976.26 975.74]
[976.761 976.239]
[979.223 978.777]
[979.714 979.286]
[982.24 981.76]
[982.772 982.228]
[985.237 984.763]
[985.752 985.248]
[988.309 987.691]
[988.805 988.195]
[991.292 990.708]
[991.777 991.223]
[994.274 993.726]
[994.764 994.236]
[997.282 996.718]
[997.763 997.237]
[1000.298  999.702]
[1000.783 1000.217]
[1003.259 1002.741]
[1003.744 1003.256]
[1006.273 1005.727]
[1006.78 1006.22]
[1009.277 1008.723]
[1009.775 1009.225]
[1012.301 1011.699]
[1012.798 1012.202]
[1015.308 1014.692]
[1015.825 1015.175]
[1018.311 1017.689]
[1018.827 1018.173]
[1021.246 1020.754]
[1021.735 1021.265]
[1024.218 1023.782]
[1024.707 1024.293]
[1027.218 1026.782]
[1027.704 1027.296]
[1030.206 1029.794]
[1030.695 1030.305]
[1033.217 1032.783]
[1033.722 1033.278]
[1036.179 1035.821]
[1036.68 1036.32]
[1039.19 1038.81]
[1039.688 1039.312]
[1042.142 1041.858]
[1042.645 1042.355]
[1045.18 1044.82]
[1045.69 1045.31]
[1048.175 1047.825]
[1048.691 1048.309]
[1051.213 1050.787]
[1051.719 1051.281]
[1054.184 1053.816]
[1054.675 1054.325]
[1057.17 1056.83]
[1057.695 1057.305]
[1060.185 1059.815]
[1060.693 1060.307]
[1063.216 1062.784]
[1063.705 1063.295]
[1066.216 1065.784]
[1066.72 1066.28]
[1069.214 1068.786]
[1069.729 1069.271]
[1072.226 1071.774]
[1072.74 1072.26]
[1075.254 1074.746]
[1075.752 1075.248]
[1078.225 1077.775]
[1078.766 1078.234]
[1081.286 1080.714]
[1081.811 1081.189]
[1084.322 1083.678]
[1084.819 1084.181]
[1087.331 1086.669]
[1087.837 1087.163]
[1090.297 1089.703]
[1090.791 1090.209]
[1093.406 1092.594]
[1093.883 1093.117]
[1096.383 1095.617]
[1096.924 1096.076]
[1099.486 1098.514]
[1100.017 1098.983]
[1102.614 1101.386]
[1103.126 1101.874]
[1105.643 1104.357]
[1106.133 1104.867]
[1108.685 1107.315]
[1109.187 1107.813]
[1111.685 1110.315]
[1112.166 1110.834]
[1114.666 1113.334]
[1115.164 1113.836]
[1117.631 1116.369]
[1118.096 1116.904]
[1120.604 1119.396]
[1121.095 1119.905]
[1123.593 1122.407]
[1124.059 1122.941]
[1126.552 1125.448]
[1127.048 1125.952]
[1129.572 1128.428]
[1130.061 1128.939]
[1132.548 1131.452]
[1133.035 1131.965]
[1135.488 1134.512]
[1135.965 1135.035]
[1138.484 1137.516]
[1138.994 1138.006]
[1141.481 1140.519]
[1141.982 1141.018]
[1144.486 1143.514]
[1144.967 1144.033]
[1147.427 1146.573]
[1147.92 1147.08]
[1150.449 1149.551]
[1150.943 1150.057]
[1153.523 1152.477]
[1154.007 1152.993]
[1156.531 1155.469]
[1157.028 1155.972]
[1159.52 1158.48]
[1160.051 1158.949]
[1162.486 1161.514]
[1162.973 1162.027]
[1165.559 1164.441]
[1166.052 1164.948]
[1168.593 1167.407]
[1169.095 1167.905]
[1171.616 1170.384]
[1172.106 1170.894]
[1174.656 1173.344]
[1175.134 1173.866]
[1177.659 1176.341]
[1178.174 1176.826]
[1180.662 1179.338]
[1181.148 1179.852]
[1183.607 1182.393]
[1184.118 1182.882]
[1186.643 1185.357]
[1187.133 1185.867]
[1189.659 1188.341]
[1190.152 1188.848]
[1192.6 1191.4]
[1193.111 1191.889]
[1195.599 1194.401]
[1196.103 1194.897]
[1198.59 1197.41]
[1199.086 1197.914]
[1201.522 1200.478]
[1202.001 1200.999]
[1204.457 1203.543]
[1204.967 1204.033]
[1207.446 1206.554]
[1207.939 1207.061]
[1210.474 1209.526]
[1210.97 1210.03]
[1213.461 1212.539]
[1213.943 1213.057]
[1216.458 1215.542]
[1216.915 1216.085]
[1219.435 1218.565]
[1219.919 1219.081]
[1222.388 1221.612]
[1222.901 1222.099]
[1225.375 1224.625]
[1225.874 1225.126]
[1228.372 1227.628]
[1228.874 1228.126]
[1231.357 1230.643]
[1231.866 1231.134]
[1234.342 1233.658]
[1234.846 1234.154]
[1237.299 1236.701]
[1237.805 1237.195]
[1240.298 1239.702]
[1240.835 1240.165]
[1243.354 1242.646]
[1243.861 1243.139]
[1246.353 1245.647]
[1246.864 1246.136]
[1249.373 1248.627]
[1249.865 1249.135]
[1252.403 1251.597]
[1252.906 1252.094]
[1255.414 1254.586]
[1255.929 1255.071]
[1258.462 1257.538]
[1258.942 1258.058]
[1261.482 1260.518]
[1261.982 1261.018]
[1264.454 1263.546]
[1264.969 1264.031]
[1267.431 1266.569]
[1267.931 1267.069]
[1270.416 1269.584]
[1270.917 1270.083]
[1273.454 1272.546]
[1273.954 1273.046]
[1276.395 1275.605]
[1276.892 1276.108]
[1279.325 1278.675]
[1279.853 1279.147]
[1282.324 1281.676]
[1282.821 1282.179]
[1285.376 1284.624]
[1285.877 1285.123]
[1288.396 1287.604]
[1288.917 1288.083]
[1291.372 1290.628]
[1291.881 1291.119]
[1294.392 1293.608]
[1294.894 1294.106]
[1297.428 1296.572]
[1297.931 1297.069]
[1300.382 1299.618]
[1300.866 1300.134]
[1303.415 1302.585]
[1303.918 1303.082]
[1306.458 1305.542]
[1306.948 1306.052]
[1309.43 1308.57]
[1309.93 1309.07]
[1312.379 1311.621]
[1312.858 1312.142]
[1315.385 1314.615]
[1315.882 1315.118]
[1318.357 1317.643]
[1318.842 1318.158]
[1321.364 1320.636]
[1321.847 1321.153]
[1324.308 1323.692]
[1324.799 1324.201]
[1327.317 1326.683]
[1327.783 1327.217]
[1330.349 1329.651]
[1330.874 1330.126]
[1333.314 1332.686]
[1333.819 1333.181]
[1336.273 1335.727]
[1336.767 1336.233]
[1339.273 1338.727]
[1339.775 1339.225]
[1342.268 1341.732]
[1342.769 1342.231]
[1345.281 1344.719]
[1345.785 1345.215]
[1348.326 1347.674]
[1348.841 1348.159]
[1351.33 1350.67]
[1351.829 1351.171]
[1354.386 1353.614]
[1354.865 1354.135]
[1357.371 1356.629]
[1357.874 1357.126]
[1360.406 1359.594]
[1360.916 1360.084]
[1363.452 1362.548]
[1363.946 1363.054]
[1366.4 1365.6]
[1366.899 1366.101]
[1369.432 1368.568]
[1369.922 1369.078]
[1372.401 1371.599]
[1372.877 1372.123]
[1375.401 1374.599]
[1375.896 1375.104]
[1378.396 1377.604]
[1378.916 1378.084]
[1381.452 1380.548]
[1381.938 1381.062]
[1384.452 1383.548]
[1384.969 1384.031]
[1387.546 1386.454]
[1388.039 1386.961]
[1390.464 1389.536]
[1390.96 1390.04]
[1393.437 1392.563]
[1393.923 1393.077]
[1396.417 1395.583]
[1396.901 1396.099]
[1399.394 1398.606]
[1399.876 1399.124]
[1402.365 1401.635]
[1402.843 1402.157]
[1405.302 1404.698]
[1405.815 1405.185]
[1408.324 1407.676]
[1408.834 1408.166]
[1411.373 1410.627]
[1411.859 1411.141]
[1414.299 1413.701]
[1414.824 1414.176]
[1417.287 1416.713]
[1417.772 1417.228]
[1420.309 1419.691]
[1420.829 1420.171]
[1423.324 1422.676]
[1423.828 1423.172]
[1426.249 1425.751]
[1426.735 1426.265]
[1429.315 1428.685]
[1429.814 1429.186]
[1432.276 1431.724]
[1432.791 1432.209]
[1435.292 1434.708]
[1435.788 1435.212]
[1438.209 1437.791]
[1438.72 1438.28]
[1441.305 1440.695]
[1441.827 1441.173]
[1444.315 1443.685]
[1444.8 1444.2]
[1447.352 1446.648]
[1447.843 1447.157]
[1450.348 1449.652]
[1450.814 1450.186]
[1453.304 1452.696]
[1453.782 1453.218]
[1456.345 1455.655]
[1456.837 1456.163]
[1459.362 1458.638]
[1459.831 1459.169]
[1462.304 1461.696]
[1462.812 1462.188]
[1465.318 1464.682]
[1465.847 1465.153]
[1468.351 1467.649]
[1468.87 1468.13]
[1471.331 1470.669]
[1471.833 1471.167]
[1474.351 1473.649]
[1474.877 1474.123]
[1477.367 1476.633]
[1477.874 1477.126]
[1480.408 1479.592]
[1480.922 1480.078]
[1483.45 1482.55]
[1483.946 1483.054]
[1486.44 1485.56]
[1486.931 1486.069]
[1489.364 1488.636]
[1489.867 1489.133]
[1492.351 1491.649]
[1492.859 1492.141]
[1495.344 1494.656]
[1495.858 1495.142]
[1498.336 1497.664]
[1498.808 1498.192]
[1501.269 1500.731]
