[alpha, beta]
[187.756  63.244]
[188.516  63.484]
[189.254  63.746]
[189.995  64.005]
[190.747  64.253]
[191.488  64.512]
[192.249  64.751]
[193.01  64.99]
[193.748  65.252]
[194.511  65.489]
[195.282  65.718]
[196.035  65.965]
[196.781  66.219]
[197.546  66.454]
[198.32  66.68]
[199.082  66.918]
[199.856  67.144]
[200.604  67.396]
[201.359  67.641]
[202.123  67.877]
[202.877  68.123]
[203.632  68.368]
[204.386  68.614]
[205.132  68.868]
[205.906  69.094]
[206.664  69.336]
[207.427  69.573]
[208.166  69.834]
[208.916  70.084]
[209.692  70.308]
[210.427  70.573]
[211.177  70.823]
[211.941  71.059]
[212.688  71.312]
[213.446  71.554]
[214.206  71.794]
[214.953  72.047]
[215.727  72.273]
[216.474  72.526]
[217.218  72.782]
[217.952  73.048]
[218.701  73.299]
[219.477  73.523]
[220.211  73.789]
[220.944  74.056]
[221.678  74.322]
[222.423  74.577]
[223.171  74.829]
[223.911  75.089]
[224.668  75.332]
[225.433  75.567]
[226.178  75.822]
[226.897  76.103]
[227.633  76.367]
[228.367  76.633]
[229.12  76.88]
[229.866  77.134]
[230.59  77.41]
[231.326  77.674]
[232.064  77.936]
[232.813  78.187]
[233.589  78.411]
[234.33  78.67]
[235.096  78.904]
[235.833  79.167]
[236.571  79.429]
[237.331  79.669]
[238.097  79.903]
[238.851  80.149]
[239.599  80.401]
[240.335  80.665]
[241.08  80.92]
[241.839  81.161]
[242.606  81.394]
[243.356  81.644]
[244.137  81.863]
[244.892  82.108]
[245.645  82.355]
[246.407  82.593]
[247.16  82.84]
[247.905  83.095]
[248.659  83.341]
[249.41  83.59]
[250.165  83.835]
[250.887  84.113]
[251.656  84.344]
[252.397  84.603]
[253.14  84.86]
[253.91  85.09]
[254.683  85.317]
[255.428  85.572]
[256.205  85.795]
[256.943  86.057]
[257.692  86.308]
[258.427  86.573]
[259.186  86.814]
[259.926  87.074]
[260.671  87.329]
[261.424  87.576]
[262.159  87.841]
[262.919  88.081]
[263.638  88.362]
[264.385  88.615]
[265.17  88.83]
[265.919  89.081]
[266.65  89.35]
[267.409  89.591]
[268.145  89.855]
[268.895  90.105]
[269.65  90.35]
[270.394  90.606]
[271.151  90.849]
[271.895  91.105]
[272.637  91.363]
[273.383  91.617]
[274.128  91.872]
[274.858  92.142]
[275.6  92.4]
[276.336  92.664]
[277.087  92.913]
[277.844  93.156]
[278.588  93.412]
[279.323  93.677]
[280.077  93.923]
[280.822  94.178]
[281.577  94.423]
[282.312  94.688]
[283.049  94.951]
[283.79  95.21]
[284.549  95.451]
[285.272  95.728]
[286.022  95.978]
[286.764  96.236]
[287.529  96.471]
[288.262  96.738]
[289.009  96.991]
[289.755  97.245]
[290.519  97.481]
[291.261  97.739]
[292.023  97.977]
[292.761  98.239]
[293.511  98.489]
[294.262  98.738]
[294.997  99.003]
[295.74  99.26]
[296.495  99.505]
[297.22  99.78]
[297.935 100.065]
[298.674 100.326]
[299.425 100.575]
[300.166 100.834]
[300.94 101.06]
[301.691 101.309]
[302.475 101.525]
[303.242 101.758]
[303.992 102.008]
[304.744 102.256]
[305.486 102.514]
[306.217 102.783]
[306.972 103.028]
[307.754 103.246]
[308.524 103.476]
[309.272 103.728]
[310.035 103.965]
[310.796 104.204]
[311.545 104.455]
[312.298 104.702]
[313.068 104.932]
[313.803 105.197]
[314.552 105.448]
[315.287 105.713]
[316.038 105.962]
[316.781 106.219]
[317.546 106.454]
[318.267 106.733]
[319.022 106.978]
[319.778 107.222]
[320.53 107.47]
[321.273 107.727]
[322.022 107.978]
[322.759 108.241]
[323.499 108.501]
[324.256 108.744]
[325.007 108.993]
[325.768 109.232]
[326.525 109.475]
[327.298 109.702]
[328.065 109.935]
[328.821 110.179]
[329.6 110.4]
[330.348 110.652]
[331.087 110.913]
[331.864 111.136]
[332.614 111.386]
[333.355 111.645]
[334.102 111.898]
[334.854 112.146]
[335.621 112.379]
[336.386 112.614]
[337.141 112.859]
[337.892 113.108]
[338.637 113.363]
[339.384 113.616]
[340.14 113.86]
[340.898 114.102]
[341.635 114.365]
[342.374 114.626]
[343.126 114.874]
[343.874 115.126]
[344.628 115.372]
[345.383 115.617]
[346.137 115.863]
[346.869 116.131]
[347.621 116.379]
[348.353 116.647]
[349.114 116.886]
[349.848 117.152]
[350.604 117.396]
[351.354 117.646]
[352.113 117.887]
[352.868 118.132]
[353.642 118.358]
[354.393 118.607]
[355.159 118.841]
[355.918 119.082]
[356.687 119.313]
[357.449 119.551]
[358.199 119.801]
[358.958 120.042]
[359.713 120.287]
[360.435 120.565]
[361.178 120.822]
[361.941 121.059]
[362.698 121.302]
[363.427 121.573]
[364.16 121.84]
[364.913 122.087]
[365.67 122.33]
[366.412 122.588]
[367.143 122.857]
[367.903 123.097]
[368.657 123.343]
[369.393 123.607]
[370.133 123.867]
[370.876 124.124]
[371.631 124.369]
[372.387 124.613]
[373.133 124.867]
[373.909 125.091]
[374.685 125.315]
[375.43 125.57]
[376.182 125.818]
[379.953 127.047]
[383.696 128.304]
[387.461 129.539]
[391.21 130.79]
[394.936 132.064]
[398.725 133.275]
[402.471 134.529]
[406.219 135.781]
[410.001 136.999]
[413.792 138.208]
[417.566 139.434]
[421.262 140.738]
[425.004 141.996]
[428.745 143.255]
[432.476 144.524]
[436.23 145.77]
[439.949 147.051]
[443.723 148.277]
[447.461 149.539]
[451.196 150.804]
[454.937 152.063]
[458.682 153.318]
[462.412 154.588]
[466.237 155.763]
[469.959 157.041]
[473.715 158.285]
[477.471 159.529]
[481.195 160.805]
[484.934 162.066]
[488.653 163.347]
[492.398 164.602]
[496.11 165.89]
[499.832 167.168]
[503.602 168.398]
[507.394 169.606]
[511.18 170.82]
[514.938 172.062]
[518.659 173.341]
[522.391 174.609]
[526.16 175.84]
[529.936 177.064]
[533.637 178.363]
[537.344 179.656]
[541.154 180.846]
[544.913 182.087]
[548.658 183.342]
[552.402 184.598]
[556.094 185.906]
[559.835 187.165]
[563.571 188.429]
[567.284 189.716]
[571.045 190.955]
[574.806 192.194]
[578.542 193.458]
[582.353 194.647]
[586.098 195.902]
[589.862 197.138]
[593.62 198.38]
[597.375 199.625]
[601.149 200.851]
[604.861 202.139]
[608.594 203.406]
[612.313 204.687]
[616.088 205.912]
[619.824 207.176]
[623.592 208.408]
[627.357 209.643]
[631.164 210.836]
[634.907 212.093]
[638.652 213.348]
[642.439 214.561]
[646.198 215.802]
[649.962 217.038]
[653.774 218.226]
[657.561 219.439]
[661.287 220.713]
[665.076 221.924]
[668.846 223.154]
[672.599 224.401]
[676.379 225.621]
[680.136 226.864]
[683.874 228.126]
[687.594 229.406]
[691.41 230.59]
[695.152 231.848]
[698.926 233.074]
[702.684 234.316]
[706.426 235.574]
[710.173 236.827]
[713.953 238.047]
[717.697 239.303]
[721.457 240.543]
[725.234 241.766]
[728.994 243.006]
[732.762 244.238]
[736.569 245.431]
[740.312 246.688]
[744.08 247.92]
[747.842 249.158]
[751.652 250.348]
[755.407 251.593]
[759.205 252.795]
[762.922 254.078]
[766.674 255.326]
[770.416 256.584]
[774.169 257.831]
[777.933 259.067]
[781.731 260.269]
[785.479 261.521]
[789.204 262.796]
[792.951 264.049]
[796.714 265.286]
[800.47 266.53]
[804.219 267.781]
[807.961 269.039]
[811.74 270.26]
[815.469 271.531]
[819.198 272.802]
[822.956 274.044]
[826.698 275.302]
[830.43 276.57]
[834.18 277.82]
[837.919 279.081]
[841.741 280.259]
[845.542 281.458]
[849.266 282.734]
[853.004 283.996]
[856.738 285.262]
[860.512 286.488]
[864.239 287.761]
[867.975 289.025]
[871.691 290.309]
[875.453 291.547]
[879.177 292.823]
[882.906 294.094]
[886.627 295.373]
[890.337 296.663]
[894.096 297.904]
[897.82 299.18]
[901.594 300.406]
[905.267 301.733]
[909.005 302.995]
[912.746 304.254]
[916.481 305.519]
[920.297 306.703]
[924.106 307.894]
[927.85 309.15]
[931.568 310.432]
[935.311 311.689]
[938.962 313.038]
[942.694 314.306]
[946.481 315.519]
[950.214 316.786]
[953.914 318.086]
[957.634 319.366]
[961.416 320.584]
[965.173 321.827]
[968.906 323.094]
[972.64 324.36]
[976.374 325.626]
[980.084 326.916]
[983.773 328.227]
[987.487 329.513]
[991.251 330.749]
[995.001 331.999]
[998.679 333.321]
[1002.368  334.632]
[1006.179  335.821]
[1009.89  337.11]
[1013.638  338.362]
[1017.47  339.53]
[1021.229  340.771]
[1024.958  342.042]
[1028.689  343.311]
[1032.405  344.595]
[1036.159  345.841]
[1039.835  347.165]
[1043.645  348.355]
[1047.439  349.561]
[1051.224  350.776]
[1054.958  352.042]
[1058.711  353.289]
[1062.42  354.58]
[1066.178  355.822]
[1069.909  357.091]
[1073.66  358.34]
[1077.37  359.63]
[1081.124  360.876]
[1084.862  362.138]
[1088.707  363.293]
[1092.48  364.52]
[1096.291  365.709]
[1100.08  366.92]
[1103.826  368.174]
[1107.629  369.371]
[1111.379  370.621]
[1115.148  371.852]
[1118.881  373.119]
[1122.633  374.367]
[1126.407  375.593]
[1130.13  376.87]
[1133.885  378.115]
[1137.683  379.317]
[1141.437  380.563]
[1145.111  381.889]
[1148.865  383.135]
[1152.607  384.393]
[1156.384  385.616]
[1160.105  386.895]
[1163.809  388.191]
[1167.546  389.454]
[1171.258  390.742]
[1175.008  391.992]
[1178.77  393.23]
[1182.53  394.47]
[1186.294  395.706]
[1190.063  396.937]
[1193.809  398.191]
[1197.526  399.474]
[1201.274  400.726]
[1204.99  402.01]
[1208.781  403.219]
[1212.55  404.45]
[1216.299  405.701]
[1220.038  406.962]
[1223.734  408.266]
[1227.509  409.491]
[1231.241  410.759]
[1234.985  412.015]
[1238.78  413.22]
[1242.519  414.481]
[1246.278  415.722]
[1249.968  417.032]
[1253.683  418.317]
[1257.467  419.533]
[1261.201  420.799]
[1264.9  422.1]
[1268.599  423.401]
[1272.387  424.613]
[1276.109  425.891]
[1279.872  427.128]
[1283.597  428.403]
[1287.295  429.705]
[1291.062  430.938]
[1294.783  432.217]
[1298.577  433.423]
[1302.369  434.631]
[1306.086  435.914]
[1309.773  437.227]
[1313.545  438.455]
[1317.308  439.692]
[1321.005  440.995]
[1324.7  442.3]
[1328.444  443.556]
[1332.276  444.724]
[1336.044  445.956]
[1339.794  447.206]
[1343.518  448.482]
[1347.296  449.704]
[1351.039  450.961]
[1354.75  452.25]
[1358.522  453.478]
[1362.26  454.74]
[1366.03  455.97]
[1369.76  457.24]
[1373.51  458.49]
[1377.254  459.746]
[1380.977  461.023]
[1384.722  462.278]
[1388.431  463.569]
[1392.18  464.82]
[1395.967  466.033]
[1399.668  467.332]
[1403.37  468.63]
[1407.129  469.871]
[1410.855  471.145]
[1414.631  472.369]
[1418.384  473.616]
[1422.156  474.844]
[1425.906  476.094]
[1429.645  477.355]
[1433.342  478.658]
[1437.136  479.864]
[1440.828  481.172]
[1444.551  482.449]
[1448.337  483.663]
[1452.082  484.918]
[1455.76  486.24]
[1459.532  487.468]
[1463.243  488.757]
[1467.021  489.979]
[1470.745  491.255]
[1474.447  492.553]
[1478.244  493.756]
[1482.011  494.989]
[1485.709  496.291]
[1489.423  497.577]
[1493.225  498.775]
[1496.964  500.036]
[1500.721  501.279]
[1504.472  502.528]
[1508.162  503.838]
[1511.891  505.109]
[1515.673  506.327]
[1519.422  507.578]
[1523.201  508.799]
[1526.908  510.092]
[1530.644  511.356]
[1534.362  512.638]
[1538.047  513.953]
[1541.778  515.222]
[1545.544  516.456]
[1549.371  517.629]
[1553.158  518.842]
[1556.904  520.096]
[1560.632  521.368]
[1564.401  522.599]
[1568.121  523.879]
[1571.827  525.173]
[1575.61  526.39]
[1579.291  527.709]
[1583.02  528.98]
[1586.726  530.274]
[1590.496  531.504]
[1594.209  532.791]
[1597.977  534.023]
[1601.71  535.29]
[1605.448  536.552]
[1609.187  537.813]
[1612.928  539.072]
[1616.65  540.35]
[1620.398  541.602]
[1624.187  542.813]
[1627.976  544.024]
[1631.766  545.234]
[1635.457  546.543]
[1639.201  547.799]
[1642.963  549.037]
[1646.729  550.271]
[1650.512  551.488]
[1654.285  552.715]
[1657.99  554.01]
[1661.731  555.269]
[1665.474  556.526]
[1669.231  557.769]
[1672.957  559.043]
[1676.745  560.255]
[1680.491  561.509]
[1684.197  562.803]
[1687.985  564.015]
[1691.714  565.286]
[1695.505  566.495]
[1699.252  567.748]
[1703.032  568.968]
[1706.776  570.224]
[1710.456  571.544]
[1714.215  572.785]
[1717.937  574.063]
[1721.743  575.257]
[1725.514  576.486]
[1729.254  577.746]
[1733.021  578.979]
[1736.747  580.253]
[1740.502  581.498]
[1744.278  582.722]
[1748.038  583.962]
[1751.816  585.184]
[1755.544  586.456]
[1759.301  587.699]
[1763.099  588.901]
[1766.837  590.163]
[1770.586  591.414]
[1774.296  592.704]
[1778.032  593.968]
[1781.79  595.21]
[1785.605  596.395]
[1789.345  597.655]
[1793.088  598.912]
[1796.862  600.138]
[1800.645  601.355]
[1804.387  602.613]
[1808.12  603.88]
[1811.862  605.138]
[1815.628  606.372]
[1819.356  607.644]
[1823.048  608.952]
[1826.758  610.242]
[1830.482  611.518]
[1834.23  612.77]
[1837.962  614.038]
[1841.71  615.29]
[1845.474  616.526]
[1849.242  617.758]
[1853.037  618.963]
[1856.736  620.264]
[1860.479  621.521]
[1864.273  622.727]
[1868.047  623.953]
[1871.813  625.187]
[1875.528  626.472]
[1879.271  627.729]
[1882.999  629.001]
[1886.805  630.195]
[1890.589  631.411]
[1894.399  632.601]
[1898.207  633.793]
[1901.972  635.028]
[1905.736  636.264]
[1909.496  637.504]
[1913.209  638.791]
[1916.972  640.028]
[1920.722  641.278]
[1924.505  642.495]
[1928.238  643.762]
[1932.006  644.994]
[1935.777  646.223]
[1939.532  647.468]
[1943.262  648.738]
[1947.033  649.967]
[1950.748  651.252]
[1954.457  652.543]
[1958.186  653.814]
[1961.951  655.049]
[1965.697  656.303]
[1969.403  657.597]
[1973.117  658.883]
[1976.907  660.093]
[1980.678  661.322]
[1984.407  662.593]
[1988.154  663.846]
[1991.859  665.141]
[1995.571  666.429]
[1999.312  667.688]
[2003.041  668.959]
[2006.768  670.232]
[2010.525  671.475]
[2014.308  672.692]
[2018.061  673.939]
[2021.793  675.207]
[2025.535  676.465]
[2029.281  677.719]
[2033.038  678.962]
[2036.805  680.195]
[2040.529  681.471]
[2044.231  682.769]
[2047.988  684.012]
[2051.751  685.249]
[2055.54  686.46]
[2059.258  687.742]
[2063.046  688.954]
[2066.776  690.224]
[2070.523  691.477]
[2074.284  692.716]
[2078.065  693.935]
[2081.844  695.156]
[2085.597  696.403]
[2089.358  697.642]
[2093.073  698.927]
[2096.819  700.181]
[2100.563  701.437]
[2104.352  702.648]
[2108.117  703.883]
[2111.884  705.116]
[2115.69  706.31]
[2119.443  707.557]
[2123.209  708.791]
[2126.916  710.084]
[2130.638  711.362]
[2134.368  712.632]
[2138.069  713.931]
[2141.772  715.228]
[2145.502  716.498]
[2149.23  717.77]
[2153.037  718.963]
[2156.806  720.194]
[2160.557  721.443]
[2164.337  722.663]
[2168.059  723.941]
[2171.798  725.202]
[2175.575  726.425]
[2179.298  727.702]
[2183.068  728.932]
[2186.789  730.211]
[2190.539  731.461]
[2194.331  732.669]
[2198.059  733.941]
[2201.782  735.218]
[2205.554  736.446]
[2209.356  737.644]
[2213.152  738.848]
[2216.832  740.168]
[2220.635  741.365]
[2224.394  742.606]
[2228.122  743.878]
[2231.912  745.088]
[2235.629  746.371]
[2239.389  747.611]
[2243.091  748.909]
[2246.818  750.182]
[2250.572  751.428]
